Polish,Dutch,English,Correct,False,Date added,Residuals
mieszkanie,['woning'],['flat'],9,2,2018-08-24,0.34708983963307816
dziewiętnasty,['negentiende'],['nineteenth'],9,2,2018-08-31,0.34708983963307816
dziewiąty,['negende'],['nineth'],9,2,2018-08-31,0.34708983963307816
przed,['voor'],['before'],14,10,2018-08-31,0.4410098054149003
czternasty,['veertiende'],['fourteenth'],11,5,2018-08-31,0.46013598031839464
pięćdziesiąt,['vijftig'],['fifty'],11,5,2018-08-31,0.46013598031839464
kwiecień,['april'],['April'],28,33,2018-09-08,0.4775512464862466
oliwka,['olijf'],['olive'],8,0,2019-03-14,0.4792621552218872
pije,['hij drinkt'],['he drinks'],8,0,2019-03-13,0.4792621552218872
noga,['been'],['leg'],8,0,2018-09-09,0.4792621552218872
do zobaczenia,['tot ziens'],['see you'],8,0,2018-08-25,0.4792621552218872
która godzina?,['hoe laat is het?'],['what time is it?'],8,0,2018-08-31,0.4792621552218872
i,['en'],['and'],8,0,2019-03-13,0.4792621552218872
lekcja,['les'],['lecture'],8,0,2018-08-24,0.4792621552218872
orzech włoski,['walnoot'],['walnut'],8,0,2019-03-13,0.4792621552218872
dobrze,['goed'],['good'],8,0,2018-08-29,0.4792621552218872
iść,['gaan'],['to go'],8,0,2018-09-09,0.4792621552218872
chłopiec,['jongen'],['boy'],8,0,2019-03-13,0.4792621552218872
ananas,['ananas'],['pineapple'],8,0,2019-03-14,0.4792621552218872
recepcja,['receptie'],['reception'],8,0,2018-08-29,0.4792621552218872
pijemy,['wij drinken'],['we drink'],8,0,2019-03-13,0.4792621552218872
makaron,['macaroni'],['pasta'],8,0,2019-03-13,0.4792621552218872
dziewczyna,['meisje'],['girl'],8,0,2019-03-13,0.4792621552218872
pięć,['vijf'],['five'],8,0,2018-08-30,0.4792621552218872
ale,['maar'],['but'],8,0,2018-09-10,0.4792621552218872
szynka,['ham'],['ham'],8,0,2019-03-13,0.4792621552218872
sześćset,['zeshonderd'],['six hundred'],8,0,2018-08-31,0.4792621552218872
rzeczowników,['zelfstandig naamwoord'],['noun'],8,0,2018-08-22,0.4792621552218872
cytryna,['citroen'],['lemon'],8,0,2019-03-11,0.4792621552218872
ładny,['mooi'],['beautiful'],8,0,2018-08-24,0.4792621552218872
siedem,['zeven'],['seven'],8,0,2018-08-30,0.4792621552218872
wiśnia,['kers'],['cherry'],8,0,2019-03-14,0.4792621552218872
syn,['zoon'],['son'],8,0,2018-08-22,0.4792621552218872
koń,['paard'],['horse'],8,0,2018-08-24,0.4792621552218872
łobuz,,['rascal'],8,0,2018-11-07,0.4792621552218872
mecz,['wedstrijd'],['match'],8,0,2018-08-24,0.4792621552218872
śmiać się,['lachen'],['to laugh'],8,0,2018-09-09,0.4792621552218872
kokos,['kokosnoot'],['coconut'],8,0,2019-03-13,0.4792621552218872
zapłącić,['betalen'],['to pay'],8,0,2018-09-06,0.4792621552218872
duży,['groot'],['large'],8,0,2018-08-24,0.4792621552218872
czternaście,['veertien'],['fourteen'],8,0,2018-08-30,0.4792621552218872
tylko,,['only'],8,0,2018-09-10,0.4792621552218872
wino,['wijn'],['wine'],8,0,2018-09-09,0.4792621552218872
osiemset,['achthonderd'],['eight hundred'],8,0,2018-08-31,0.4792621552218872
biały,['wit'],['white'],8,0,2018-09-11,0.4792621552218872
chleb,['brood'],['bread'],8,0,2018-08-24,0.4792621552218872
kalendarz,['kalender'],['calendar'],8,0,2018-09-09,0.4792621552218872
marchew,['wortel'],['carrot'],8,0,2019-03-14,0.4792621552218872
klimatyzacja,"['airconditioning', 'airco']",['air conditioning'],8,0,2018-09-12,0.4792621552218872
dania gorące,,['hot meals'],8,0,2018-08-30,0.4792621552218872
szósty,['zesde'],['sixth'],8,0,2018-08-31,0.4792621552218872
sto,['honderd'],['hundred'],8,0,2018-08-24,0.4792621552218872
truskawka,['aardbei'],['strawberry'],8,0,2019-03-14,0.4792621552218872
godzina,['uur'],['hour'],8,0,2018-09-09,0.4792621552218872
jedenaście,['elf'],['eleven'],8,0,2018-08-30,0.4792621552218872
pietruszka,['peterselie'],['parsley'],8,0,2019-03-14,0.4792621552218872
zero,['nul'],['zero'],8,0,2018-08-29,0.4792621552218872
brokuł,['broccoli'],['broccoli'],8,0,2019-03-14,0.4792621552218872
mężczyzna,['man'],['man'],8,0,2019-03-13,0.4792621552218872
jak pan (pani) się nazywa?,['hoe heet u?'],['how are you called?'],8,0,2018-08-25,0.4792621552218872
jutro,['morgen'],['tomorrow'],8,0,2018-08-24,0.4792621552218872
kobieta,['vrouw'],['woman'],8,0,2019-03-13,0.4792621552218872
nie dotykać,['niet aanraken'],"[""don't touch""]",8,0,2018-08-24,0.4792621552218872
plaża,['strand'],['beach'],8,0,2018-08-24,0.4792621552218872
pistacja,['pistache'],['pistachio'],8,0,2019-03-13,0.4792621552218872
tu,['hier'],['here'],8,0,2018-08-24,0.4792621552218872
zupa,['soep'],['soup'],8,0,2019-03-11,0.4792621552218872
wieczorem,"[""'s avonds""]",['in the evening'],8,0,2018-08-22,0.4792621552218872
kiwi,['kiwi'],['kiwi'],8,0,2019-03-14,0.4792621552218872
szesnasty,['zestiende'],['sixteenth'],8,0,2018-08-31,0.4792621552218872
lód,['ijs'],['ice'],8,0,2018-08-24,0.4792621552218872
sok pomarańczowy,['sinaasappelsap'],['orange juice'],8,0,2019-03-13,0.4792621552218872
trzydzieści,['dertig'],['thirty'],8,0,2018-08-31,0.4792621552218872
maj,['mei'],['May'],8,0,2018-09-08,0.4792621552218872
czerwony,['rood'],['red'],8,0,2018-09-11,0.4792621552218872
nie,['nee'],['no'],8,0,2018-08-29,0.4792621552218872
burak,['rode biet'],['beetroot'],8,0,2018-09-12,0.4792621552218872
dwa tysiące,['tweeduizend'],['two thousand'],8,0,2018-08-31,0.4792621552218872
widzieć,['zien'],['to see'],8,0,2018-09-09,0.4792621552218872
biernik,['accusatief'],['accusativus'],8,0,2018-08-22,0.4792621552218872
lub,['of'],['or'],8,0,2019-03-13,0.4792621552218872
kalafior,['bloemkool'],['cauliflower'],8,0,2019-03-14,0.4792621552218872
mamy,['we hebben'],['we have'],8,0,2018-09-10,0.4792621552218872
z,['van'],['from'],13,8,2018-09-10,0.5731821210037111
blisko,['dichtbij'],['near'],13,8,2018-09-09,0.5731821210037111
zgoda,['afgesproken'],['deal'],10,3,2018-08-25,0.5923082959072055
to się nie zgadza,['dat klopt niet'],['that is not correct'],10,3,2018-09-06,0.5923082959072055
dwunasty,['twaalfde'],['twelfth'],10,3,2018-08-31,0.5923082959072055
miło mi pana (panią) poznać,['aangenaam kennis met u te maken'],['nice to meet you'],10,3,2018-08-25,0.5923082959072055
czy mogę panu (pani) zaproponować coś do picia?,['mag ik u iets te drinken aanbieden?'],['can I offer you something to drink?'],10,3,2018-08-25,0.5923082959072055
zawsze,['altijd'],['always'],15,11,2018-09-12,0.6862282616890276
do,['naar'],['to'],12,6,2018-09-10,0.705354436592522
zawód,['beroep'],['profession'],12,6,2018-08-29,0.705354436592522
sadzawka,['vijver'],['pond'],12,6,2018-11-07,0.705354436592522
podróż,['reis'],['journey'],12,6,2018-09-11,0.705354436592522
cukiernia,['banketbakkerij'],['bakery'],9,1,2018-11-07,0.7244806114960145
piętro,['verdieping'],['level'],9,1,2018-08-24,0.7244806114960145
chwileczkę,['een moment'],['a moment'],9,1,2018-08-25,0.7244806114960145
mądry,['verstandig'],['wise'],11,4,2018-08-27,0.837526752181331
dorośli,['volwassenen'],['adults'],11,4,2018-08-24,0.837526752181331
czarny,['zwart'],['black'],11,4,2018-09-11,0.837526752181331
zły,['slecht'],['bad'],10,2,2018-08-27,0.96969906777014
dziś rano,['vanochtend'],['this morning'],10,2,2018-08-22,0.96969906777014
pyszne,['heerlijk'],['delicious'],15,10,2018-09-09,1.0636190335519657
listopad,['november'],['November'],15,10,2018-09-08,1.0636190335519657
"przy, u",['bij'],['with'],15,10,2018-08-29,1.0636190335519657
dziękuję,['dank u'],['thank you'],9,0,2019-03-13,1.1018713833589509
dobranoc,['goedenacht'],['good night'],9,0,2018-08-29,1.1018713833589509
mianownik,['nominatief'],['nominativus'],9,0,2018-08-22,1.1018713833589509
kot,['kat'],['cat'],9,0,2018-08-22,1.1018713833589509
drugi,['tweede'],['second'],9,0,2018-08-31,1.1018713833589509
mąż,['echtgenoot'],['husband'],9,0,2018-08-22,1.1018713833589509
ołowek,['potlood'],['pencil'],17,13,2018-08-27,1.1766651742372822
przyjazd,['aankomst'],['arrival'],14,8,2018-08-24,1.1957913491407766
powoli,['langzaam'],['slow'],14,8,2018-08-24,1.1957913491407766
na,['op'],['on top of'],14,8,2018-08-29,1.1957913491407766
gruby,['vet'],['fat'],14,8,2018-09-11,1.1957913491407766
kto,['wie'],['who'],10,1,2018-08-22,1.3470898396330782
w nocy,"[""'s nachts""]",['at night'],10,1,2018-08-22,1.3470898396330782
wiadomość,['bericht'],['message'],12,4,2018-08-24,1.4601359803183946
wczoraj w nocy,['afgelopen nacht'],['last night'],12,4,2018-08-22,1.4601359803183946
nieświeży,['bedorven'],['spoiled'],17,12,2018-09-12,1.5540559461002168
czynny,['open'],['open'],14,7,2018-08-24,1.5731821210037111
łóżko,['bed'],['bed'],14,7,2018-09-12,1.5731821210037111
strach,['angst'],['fear'],11,2,2018-08-24,1.5923082959072055
czy mógłby pan wolniej mówić?,['wilt u langzaam spreken?'],['could you speak slowly?'],13,5,2018-08-25,1.705354436592522
miło mi pana (panią) widzieć,['ik ben blij u te zien'],['I am glad to see you'],13,5,2018-08-25,1.705354436592522
dziecko,['kind'],['child'],10,0,2018-08-22,1.7244806114960145
bo,['omdat'],['because'],18,13,2018-09-10,1.799274402374344
naprzeciw,['tegen'],['against'],18,13,2018-08-29,1.799274402374344
rynek,['markt'],['market'],12,3,2018-08-24,1.837526752181331
czas,['tijd'],['time'],12,3,2018-08-24,1.837526752181331
o,['om'],['at'],17,11,2018-08-31,1.931446717963155
samoobsługa,['zelfbediening'],['self service'],11,1,2018-08-24,1.96969906777014
wesoły,['vrolijk'],['happy'],19,14,2018-08-27,2.0444928586484714
przed,['voor'],['in front of'],18,12,2018-08-29,2.1766651742372822
wcześnie,['vroeg'],['early'],15,7,2018-08-24,2.1957913491407766
przejście,['doorgang'],['passage'],15,7,2018-08-24,2.1957913491407766
odpowiedź,['antwoord'],['answer'],20,15,2018-09-12,2.2897113149225987
piwo,['bier'],['beer'],11,0,2018-09-09,2.347089839633078
rodzice,['ouders'],['parents'],11,0,2018-08-22,2.347089839633078
żona,['echtgenote'],['wife'],12,1,2018-08-22,2.5923082959072055
wejście,['ingang'],['entrance'],14,4,2018-08-24,2.705354436592522
"przy, koło",['naast'],['next to'],16,7,2018-08-29,2.8184005772778384
miejscownik,['locatief'],['locativus'],15,5,2018-08-22,2.9505728928666493
liczba mnoga,['meervoud'],['plural'],12,0,2018-08-22,2.96969906777014
pan,['heer'],['sir'],12,0,2018-08-22,2.96969906777014
mięso,['vlees'],['meat'],12,0,2018-09-09,2.96969906777014
(ja) się nazywam Rodger,['ik heet Rodger'],['my name is Rodger'],12,0,2018-08-22,2.96969906777014
kawa,['koffie'],['coffee'],12,0,2018-08-24,2.96969906777014
co to znaczy?,['wat betekent dat?'],['what does that mean?'],17,8,2018-08-25,3.0636190335519657
rano,"[""'s ochtends""]",['in the morning'],14,3,2018-08-22,3.0827452084554583
w,['in'],['in'],22,16,2018-08-29,3.157538999333788
chory,['ziek'],['sick'],16,6,2018-08-24,3.1957913491407766
wolacz,['vocatief'],['vocativus'],13,1,2018-08-22,3.2149175240442673
stacja,['station'],['station'],13,1,2018-08-24,3.2149175240442673
przez,['via'],['via'],18,9,2018-08-29,3.308837489826093
pies,['hond'],['dog'],13,0,2018-08-22,3.5923082959072055
to,"['dit', 'dat']","['this', 'that']",13,0,2018-08-22,3.5923082959072055
czy mógłby pan zapisać mi ten adres?,['wilt u dat adres voor mij opschrijven?'],['could you write down that address for me?'],19,9,2018-08-25,3.931446717963155
córka,['dochter'],['daughter'],14,0,2018-08-22,4.214917524044267
narzednik,['ablatief'],['ablativus'],25,18,2018-08-22,4.270585140019104
dopełniacz,['genitief'],['genitivus'],16,2,2018-08-22,4.705354436592522
dzwon,['bel'],['bell'],20,8,2018-08-24,4.931446717963155
pani,['dame'],['lady'],16,1,2018-08-22,5.082745208455458
przystojny,['knap'],['handsome'],22,10,2018-08-27,5.4218836305114095
celownik,['datief'],['dativus'],27,15,2018-08-22,6.6479759118820425
liczby pojedynczej,['enkelvoud'],['singular'],25,5,2018-08-22,9.176665174237282
rodzica,['ouder'],['parent'],22,0,2018-08-22,9.195791349140777
